n_mels,groups,params,flops,avg_epoch_time_sec,final_train_loss,final_val_acc,test_acc
80,2,44354,8894720,21.41597345840419,0.0927049335175507,0.9713574097135741,0.9769417475728155
80,4,41282,8274176,19.91180653301999,0.08377512721576268,0.9688667496886675,0.970873786407767
80,8,39746,7963904,19.76820328339236,0.09353122131833962,0.9763387297633873,0.9817961165048543
80,16,38978,7808768,20.35692699160427,0.08675110070477232,0.9788293897882939,0.9781553398058253
